n_layer1;dropout;n_layer2;act;optim;n_batch;best_val_acc
128;0.3685849187307607;256;leakyrelu;sgd;256;0.3781999945640564
256;0.41833334235579095;512;swish;rmsprop;64;0.33889999985694885
512;0.48790925917284717;512;swish;adam;64;0.3452000021934509
256;0.42221220495036493;256;relu;adam;128;0.37599998712539673
512;0.06874772122693129;512;swish;rmsprop;128;0.33629998564720154
